word,head,tail
变色之言,biàn,yán
变名易姓,biàn,xìng
变脸变色,biàn,sè
变醨养瘠,biàn,jí
变幻无穷,biàn,qióng
变幻无常,biàn,cháng
变幻莫测,biàn,cè
变幻不测,biàn,cè
变化无穷,biàn,qióng
变化无常,biàn,cháng
变化如神,biàn,shén
变化莫测,biàn,cè
变化多端,biàn,duān
变化不穷,biàn,qióng
变化不测,biàn,cè
变故易常,biàn,cháng
变古易俗,biàn,sú
变古易常,biàn,cháng
变古乱常,biàn,cháng
变躬迁席,biàn,xí
变风易俗,biàn,sú
变风改俗,biàn,sú
变容改俗,biàn,sú
变色易容,biàn,róng
变本加厉,biàn,lì
变生不测,biàn,cè
便辞巧说,biàn,shuō
抃风儛润,biàn,rùn
抃风舞润,biàn,rùn
辩口利舌,biàn,cí
辩口利辞,biàn,cí
便宜行事,biàn,shì
辩才无阂,biàn,hé
辩才无碍,biàn,ài
辨物居方,biàn,fāng
变动不居,biàn,jū
辨若悬河,biàn,hé
辨日炎凉,biàn,liáng
遍体鳞伤,biàn,shāng
遍地开花,biàn,huā
变颜变色,biàn,sè
变炫无穷,biàn,qióng
变心易虑,biàn,lǜ
变危为安,biàn,ān
变态百出,biàn,chū
变俗易教,biàn,jiào
变生肘腋,biàn,yè
辨如悬河,biàn,hé
摽梅之年,biào,nián
便宜施行,bián,xíng
便宜从事,bián,shì
别具肺肠,bié,cháng
别风淮雨,bié,yǔ
别创一格,bié,gé
别出新意,bié,yì
别出新裁,bié,cái
别出心裁,bié,cái
别出手眼,bié,yǎn
别出机杼,bié,zhù
别财异居,bié,jū
别鹤孤鸾,bié,luán
别抱琵琶,bié,pá
别有人间,bié,jiān
别有天地,bié,dì
别有心肠,bié,cháng
别有心肝,bié,gān
别有用心,bié,xīn
别有滋味,bié,wèi
别置一喙,bié,huì
别作良图,bié,tú
别有风味,bié,wèi
别鹤离鸾,bié,láun
别籍异财,bié,cái
别籍异居,bié,jū
别树一旗,bié,qí
别生枝节,bié,jié
别类分门,bié,mén
别来无恙,bié,yàng
别开一格,bié,gé
别开生面,bié,miàn
别开蹊径,bié,jìng
别具只眼,bié,yǎn
别具一格,bié,gé
别具心肠,bié,cháng
别具手眼,bié,yǎn
别具匠心,bié,xīn
别具慧眼,bié,yǎn
别无二致,bié,zhì
别居异财,bié,cái
别无他物,bié,wù
别有洞天,bié,tiān
别有肺肠,bié,cháng
别有风趣,bié,qù
别作一眼,bié,yǎn
别树一帜,bié,zhì
别无长物,bié,wù
鞭丝帽影,biān,yǐng
鞭约近里,biān,lǐ
鞭擗向里,biān,lǐ
鞭驽策蹇,biān,jiǎn
鞭长莫及,biān,jí
鞭长驾远,biān,yuǎn
鞭长不及,biān,jí
鞭不及腹,biān,fù
鞭长不及马腹,biān,jí
鞭辟向里,biān,lǐ
鞭辟入里,biān,lǐ
鞭辟近里,biān,lǐ
砭庸针俗,biān,sú
边尘不惊,biān,jīng
鞭辟着里,biān,lǐ
标新领异,biāo,yì
膘肥体壮,biāo,zhuàng
标枝野鹿,biāo,lù
飙发电举,biāo,jù
标新竖异,biāo,yì
标新竞异,biāo,yì
标新立异,biāo,yì
标同伐异,biāo,yì
标情夺趣,biāo,qù
彪形大汉,biāo,hàn
彪炳千古,biāo,gǔ
飙举电至,biāo,zhì
标新创异,biāo,yì
变贪厉薄,biǎn,bó
表里相依,biǎo,yī
表里相济,biǎo,jì
表里山河,biǎo,hé
表里为奸,biǎo,jiān
表里相应,biǎo,yìng
表里相符,biǎo,fú
表里一致,biǎo,zhì
表里受敌,biǎo,dí
表壮不如里壮,biǎo,rú
表壮不如理壮,biǎo,rú
表里不一,biǎo,yī
表里如一,biǎo,yī
表面文章,biǎo,zhāng
不随以止,bu,zi
霸陵醉尉,bà,wèi
霸道横行,bà,xíng
霸王别姬,bà,jī
霸王风月,bà,yuè
摆袖却金,bài,jīn
败鳞残甲,bài,jiǎ
败德辱行,bài,xíng
败法乱纪,bài,jì
败鼓之皮,bài,pí
败国丧家,bài,jiā
败国亡家,bài,jiā
败化伤风,bài,fēng
败绩失据,bài,jù
败将残兵,bài,bīng
败井颓垣,bài,yuán
败军之将,bài,jiàng
败柳残花,bài,huā
败事有余，成事不足,bài,yú，chéng
败俗伤风,bài,fēng
败材伤锦,bài,jǐn
败俗伤化,bài,huà
败于垂成,bài,chéng
拜赐之师,bài,shī
拜倒辕门,bài,mén
拜恩私室,bài,shì
拜鬼求神,bài,shén
拜将封侯,bài,hóu
稗官小说,bài,shuō
稗官野史,bài,shǐ
败兴而归,bài,guī
败不旋踵,bài,zhǒng
半部论语治天下,bàn,yǔ
半痴不颠,bàn,diān
半筹不纳,bàn,nà
半筹莫展,bàn,chǎn
半低不高,bàn,gāo
半懂不懂,bàn,dǒng
半部论语,bàn,yǔ
半半拉拉,bàn,lā
半半路路,bàn,lù
半壁河山,bàn,shān
半壁江山,bàn,shān
半壁山河,bàn,hé
半饥半饱,bàn,bǎo
半斤八面,bàn,miàn
半间不界,bàn,gà
半斤八两,bàn,liǎng
半间半界,bàn,gà
半吐半露,bàn,lù
半解一知,bàn,zhī
半推半就,bàn,jiù
半吞半吐,bàn,tǔ
半文半白,bàn,bái
半文不白,bàn,bái
半涂而废,bàn,fèi
半新半旧,bàn,jiù
半信半疑,bàn,yí
半信不信,bàn,xìn
半夜三更,bàn,gēng
半疑半信,bàn,xìn
半真半假,bàn,jiǎ
伴食宰相,bàn,xiàng
伴食中书,bàn,shū
半新不旧,bàn,jiù
半涂而罢,bàn,bà
半途而废,bàn,fèi
半死不活,bàn,huó
半截入土,bàn,tǔ
半路出家,bàn,jiā
半路修行,bàn,xíng
半梦半醒,bàn,xǐng
半面不忘,bàn,wàng
半死辣活,bàn,huó
半面之旧,bàn,jiù
半青半黄,bàn,huáng
半面之交,bàn,jiāo
半上半下,bàn,xià
半上落下,bàn,xià
半身不遂,bàn,suí
半生半熟,bàn,shú
半生不熟,bàn,shú
半丝半缕,bàn,lǜ
半死半生,bàn,shēng
半三不四,bàn,sì
蚌病成珠,bàng,zhū
蚌病生珠,bàng,zhū
蚌鹬相持,bàng,chí
傍观冷眼,bàng,yǎn
傍观者清,bàng,qīng
傍花随柳,bàng,liǔ
傍人篱壁,bàng,bì
傍人篱落,bàng,luò
傍人门户,bàng,hù
棒打鸳鸯,bàng,yāng
傍观者审，当局者迷,bàng,shěn，dāng
鲍鱼之肆,bào,sì
鲍子知我,bào,wǒ
暴风疾雨,bào,yǔ
暴风骤雨,bào,yǔ
暴虎冯河,bào,hé
暴戾恣睢,bào,suī
暴敛横征,bào,zhēng
暴内陵外,bào,wài
暴虐无道,bào,dào
暴取豪夺,bào,duó
暴殄天物,bào,wù
暴跳如雷,bào,léi
暴躁如雷,bào,léi
爆跳如雷,bào,léi
暴露无遗,bào,yí
鲍鱼之次,bào,cì
抱子弄孙,bào,sūn
豹死留皮,bào,pí
抱令守律,bào,lǜ
抱蔓摘瓜,bào,guā
抱璞泣血,bào,xuè
抱朴含真,bào,zhēn
抱椠怀铅,bào,qiān
抱屈衔冤,bào,yuān
抱头大哭,bào,kū
抱头鼠窜,bào,cuàn
抱头痛哭,bào,kū
抱瓮出灌,bào,guàn
抱瓮灌园,bào,yuán
抱薪救焚,bào,fén
抱薪救火,bào,huǒ
抱怨雪耻,bào,chǐ
抱枝拾叶,bào,yè
豹头环眼,bào,yǎn
抱玉握珠,bào,zhū
抱柱之信,bào,xìn
抱残守阙,bào,quē
抱布贸丝,bào,sī
抱诚守真,bào,zhēn
报本反始,bào,shǐ
报冰公事,bào,shì
报仇雪耻,bào,chǐ
报仇雪恨,bào,hèn
报雠雪恨,bào,hèn
报李投桃,bào,táo
报效万一,bào,yī
报应不爽,bào,shuǎng
抱宝怀珍,bào,zhēn
抱表寝绳,bào,shéng
抱冰公事,bào,shì
抱不平,bào,
抱打不平,bào,píng
抱法处势,bào,shì
抱负不凡,bào,fán
抱关击柝,bào,tuò
抱关执钥,bào,yuè
抱关执籥,bào,yuè
抱恨黄泉,bào,quán
抱恨终天,bào,tiān
抱火厝薪,bào,xīn
抱火寝薪,bào,xīn
抱火卧薪,bào,xīn
抱残守缺,bào,quē
抱成一团,bào,tuán
拔树寻根,bá,gēn
拔犀擢象,bá,xiàng
拔辖投井,bá,jǐng
拔新领异,bá,yì
拔地摇山,bá,shān
拔本塞原,bá,yuán
拔十得五,bá,wǔ
拔山扛鼎,bá,dǐng
拔山举鼎,bá,dǐng
拔山盖世,bá,shì
拔山超海,bá,hǎi
拔群出萃,bá,cuì
拔苗助长,bá,zhǎng
拔茅连茹,bá,rú
拔毛连茹,bá,rú
拔毛济世,bá,shì
拔了萝卜地皮宽,bá,bo
拔类超群,bá,qún
拔来报往,bá,wǎng
拔葵去织,bá,zhī
拔葵啖枣,bá,zǎo
拔剑论功,bá,gōng
拔锅卷席,bá,xí
拔丁抽楔,bá,xiē
拔地倚天,bá,tiān
拔树搜根,bá,gēn
拔地参天,bá,tiān
拔刀相助,bá,zhù
拔刀相向,bá,xiàng
拔萃出群,bá,qún
拔萃出类,bá,lèi
拔丛出类,bá,lèi
拔本塞源,bá,yuán
拔宅飞升,bá,shēng
拔宅上升,bá,shēng
跋胡痜尾,bá,wěi
拔赵帜立赤帜,bá,lì
拔赵易汉,bá,hàn
跋涉山川,bá,chuān
跋山涉水,bá,shuǐ
跋山涉川,bá,chuān
跋前踬后,bá,hòu
跋前痜后,bá,hòu
跋前踕后,bá,hòu
跋履山川,bá,chuān
拔树撼山,bá,shān
跋扈恣睢,bá,suī
跋扈自恣,bá,zì
跋扈飞扬,bá,yáng
拔十失五,bá,wǔ
拔帜易帜,bá,zhì
拔帜树帜,bá,zhì
跋来报往,bá,wǎng
拔赵帜易汉帜,bá,yì
白圭之玷,bái,diàn
白黑不分,bái,fēn
白黑颠倒,bái,dǎo
白黑分明,bái,míng
白虹贯日,bái,rì
白袷蓝衫,bái,shān
白话八股,bái,gǔ
白骨再肉,bái,ròu
白驹过隙,bái,xì
白驹空谷,bái,gǔ
白蜡明经,bái,jīng
白浪掀天,bái,tiān
白龙鱼服,bái,fú
白华之怨,bái,yuàn
白骨露野,bái,yě
白发千丈,bái,zhàng
白发朱颜,bái,yán
白白朱朱,bái,zhū
白璧青蝇,bái,yíng
白璧三献,bái,xiàn
白璧微瑕,bái,xiá
白璧无瑕,bái,xiá
白草黄云,bái,yún
白饭青刍,bái,chú
白齿青眉,bái,méi
白藋同心,bái,xīn
白发苍苍,bái,cāng
白发苍颜,bái,yán
白发丹心,bái,xīn
白发红颜,bái,yán
白发青衫,bái,shān
白刀子进，红刀子出,bái,jìn，hóng
白丁俗客,bái,kè
白头之叹,bái,tàn
白面儒冠,bái,guān
白天见鬼,bái,guǐ
白叟黄童,bái,tóng
白水鉴心,bái,xīn
白首之心,bái,xīn
白首一节,bái,jié
白首相庄,bái,zhuāng
白头不终,bái,zhōng
白首相知,bái,zhī
白首同归,bái,guī
白首如新,bái,xīn
白首穷经,bái,jīng
白首齐眉,bái,méi
白首空归,bái,guī
白首不渝,bái,yú
白首为郎,bái,láng
白首北面,bái,miàn
白头到老,bái,lǎo
白头如新,bái,xīn
白头偕老,bái,lǎo
白兔赤乌,bái,wū
白往黑来,bái,lái
白屋寒门,bái,mén
白屋之士,bái,shì
白雪皑皑,bái,ái
白头而新,bái,xīn
白雪难和,bái,hé
白眼相看,bái,kàn
白衣苍狗,bái,gǒu
白衣公卿,bái,qīng
白衣卿相,bái,xiàng
白头相守,bái,shǒu
白头相并,bái,bìng
白雪阳春,bái,chūn
白旄黄钺,bái,yuè
白眉赤眼,bái,yǎn
白手起家,bái,jiā
白纸黑字,bái,zì
白云亲舍,bái,shè
白云孤飞,bái,fēi
白云苍狗,bái,gǒu
白玉无瑕,bái,xiá
白玉微瑕,bái,xiá
白鱼入舟,bái,zhōu
白鱼登舟,bái,zhōu
白鱼赤乌,bái,wū
白蚁争穴,bái,xué
白衣宰相,bái,xiàng
白面儒生,bái,shēng
白面书郎,bái,láng
白手兴家,bái,jiā
白面书生,bái,shēng
白衣秀士,bái,shì
白日飞升,bái,shēng
白手空拳,bái,quán
白手成家,bái,jiā
白山黑水,bái,shuǐ
白沙在涅，与之俱黑,bái,niè，yǔ
白色恐怖,bái,bù
白日做梦,bái,mèng
白帢青衫,bái,shān
白日作梦,bái,mèng
白日绣衣,bái,yī
白日升天,bái,tiān
白日上升,bái,shēng
白日青天,bái,tiān
白日见鬼,bái,guǐ
白日衣绣,bái,xiù
仿徨失措,báng,cuò
薄唇轻言,báo,yán
薄情无义,báo,yì
备尝辛苦,bèi,kǔ
贝阙珠宫,bèi,gōng
背曲腰弯,bèi,wān
背若芒刺,bèi,cì
背山起楼,bèi,lóu
背生芒刺,bèi,cì
背水一战,bèi,zhàn
背乡离井,bèi,jǐng
背信弃义,bèi,yì
背义负恩,bèi,ēn
背曲腰躬,bèi,gōng
背义负信,bèi,xìn
倍道而进,bèi,jìn
倍道而行,bèi,xíng
倍道兼进,bèi,jìn
倍道兼行,bèi,xíng
倍日并行,bèi,xíng
悖入悖出,bèi,chū
被宠若惊,bèi,jīng
被泽蒙庥,bèi,xiū
背义忘恩,bèi,ēn
背前面后,bèi,hòu
悖言乱辞,bèi,cí
背井离乡,bèi,xiāng
背盟败约,bèi,yuē
备多力分,bèi,fēn
备而不用,bèi,yòng
备位充数,bèi,shù
背暗投明,bèi,míng
背碑覆局,bèi,jú
背本就末,bèi,mò
背本趋末,bèi,mò
背城借一,bèi,yī
备尝艰苦,bèi,kǔ
背道而驰,bèi,chí
背恩负义,bèi,yì
背恩弃义,bèi,yì
背恩忘义,bèi,yì
背腹受敌,bèi,dí
背公向私,bèi,sī
背城一战,bèi,zhàn
背公营私,bèi,sī
背惠食言,bèi,yán
笨嘴拙舌,bèn,shé
笨嘴笨舌,bèn,shé
坌鸟先飞,bèn,fēi
笨鸟先飞,bèn,fēi
敝绨恶粟,bì,sù
敝鼓丧豚,bì,tún
敝綈恶粟,bì,sù
避难趋易,bì,yì
敝衣粝食,bì,shí
敝衣枵腹,bì,fù
筚门圭窬,bì,yú
敝帚自享,bì,xiǎng
敝帚自珍,bì,zhēn
筚路蓝缕,bì,lǚ
筚路褴褛,bì,lǚ
避溺山隅,bì,yú
筚门闺窦,bì,dòu
敝帚千金,bì,jīn
婢作夫人,bì,rén
闭门投辖,bì,xiá
毙而后已,bì,yǐ
弊车羸马,bì,mǎ
闭门扫迹,bì,guǐ
闭门埽轨,bì,guǐ
闭门思过,bì,guò
闭门思愆,bì,qiān
闭门造车,bì,chē
婢膝奴颜,bì,yán
闭门自守,bì,shǒu
闭目塞聪,bì,cōng
闭目塞耳,bì,ěr
闭目塞听,bì,tīng
闭塞眼睛捉麻雀,bì,jīng
闭月羞花,bì,huā
荜门圭窦,bì,dòu
闭明塞聪,bì,cōng
弊绝风清,bì,qīng
避毁就誉,bì,yù
弊衣疏食,bì,shí
避瓜防李,bì,lǐ
避害就利,bì,lì
闭门扫轨,bì,guǐ
避难就易,bì,yì
避祸求福,bì,fù
避迹藏时,bì,shí
避烦斗捷,bì,jié
避迹违心,bì,xīn
避阱入坑,bì,kéng
避穽入坑,bì,kēng
避军三舍,bì,shè
避君三舍,bì,shè
避坑落井,bì,jǐng
避李嫌瓜,bì,guā
避井入坎,bì,kǎn
弊衣箪食,bì,shí
避而不谈,bì,tán
壁垒森严,bì,yán
弊衣蔬食,bì,shí
弊帚千金,bì,jīn
弊帚自珍,bì,zhén
碧海青天,bì,tiān
碧鬟红袖,bì,xiù
碧空如洗,bì,xǐ
壁立千仞,bì,rèn
碧空万里,bì,lǐ
碧血丹心,bì,xīn
蔽聪塞明,bì,mínɡ
蔽明塞聪,bì,cōng
蔽日干云,bì,yún
蔽日遮天,bì,tiān
壁间蛇影,bì,yǐng
碧落黄泉,bì,quán
闭门塞户,bì,hù
闭关锁国,bì,guó
闭门却扫,bì,sǎo
避实就虚,bì,xū
避实击虚,bì,xū
避人眼目,bì,mù
避人耳目,bì,mù
避让贤路,bì,lù
避强击弱,bì,ruò
避世金马,bì,mǎ
避强击惰,bì,duò
避其锐气，击其惰归,bì,qì，jī
币重言甘,bì,gān
必不得已,bì,yǐ
必不挠北,bì,běi
必操胜券,bì,quàn
必恭必敬,bì,jìng
避强打弱,bì,ruò
必躬必亲,bì,qīn
避世金门,bì,mén
避世离俗,bì,sú
璧坐玑驰,bì,chí
璧合珠联,bì,lián
璧合珠连,bì,lián
髀肉复生,bì,shēng
髀里肉生,bì,shēng
臂有四肘,bì,zhǒu
避世绝俗,bì,sú
避重逐轻,bì,qīng
避之若浼,bì,měi
避影匿形,bì,xíng
避影敛迹,bì,jì
避凶趋吉,bì,jí
避俗趋新,bì,xīn
避世墙东,bì,dōng
避重就轻,bì,qīng
闭门塞窦,bì,dòu
必经之路,bì,lù
必也正名,bì,míng
闭口捕舌,bì,shé
闭口不言,bì,yán
闭口藏舌,bì,shé
闭口结舌,bì,shé
闭口无言,bì,yán
闭门不出,bì,chū
闭境自守,bì,shǒu
闭门不纳,bì,nà
闭门羹,bì,
闭门酣歌,bì,gē
闭门合辙,bì,shé
闭门墐户,bì,hù
闭门觅句,bì,jù
闭门却轨,bì,guǐ
闭门读书,bì,shū
必里迟离,bì,lí
闭户读书,bì,shū
闭合思过,bì,guò
必由之路,bì,lù
必争之地,bì,dì
毕恭毕敬,bì,jìng
毕力同心,bì,xīn
毕其功于一役,bì,yú
毕雨箕风,bì,fēng
闭合自责,bì,zé
闭壁清野,bì,yiě
闭阁自责,bì,zé
闭关绝市,bì,shì
闭关却扫,bì,sǎo
避面尹邢,bì,xíng
闭关自守,bì,shǒu
闭关自主,bì,zhǔ
闭阁思过,bì,guò
避凉附炎,bì,yán
避祸就福,bì,fú
俛拾地芥,bì,jiè
鬓乱钗横,bìn,héng
并驾齐驱,bìng,qū
并疆兼巷,bìng,xiàng
并驱争先,bìng,xiān
并日而食,bìng,shí
并容徧覆,bìng,fù
并世无两,bìng,liǎng
并威偶势,bìng,shì
并赃拿贼,bìng,zéi
病病歪歪,bìng,wāi
病从口入,bìng,rù
病骨支离,bìng,lí
并行不悖,bìng,bèi
病急乱投医,bìng,tóu
病民蛊国,bìng,guó
病民害国,bìng,guó
病魔缠身,bìng,shēn
病染膏肓,bìng,huāng
病入膏肓,bìng,huāng
病入骨髓,bìng,suǐ
病入骨雜,bìng,suǐ
病由口入,bìng,rù
病在膏肓,bìng,huāng
并蒂芙蓉,bìng,róng
病国殃民,bìng,mín
并为一谈,bìng,tán
并存不悖,bìng,bèi
鼻塌唇青,bí,qīng
鼻肿眼青,bí,qīng
鼻息如雷,bí,léi
鼻头出火,bí,huǒ
鼻塌嘴歪,bí,wāi
鼻塌脣青,bí,qīng
鼻青眼紫,bí,zǐ
鼻青眼肿,bí,zhǒng
鼻青眼乌,bí,wū
鼻青脸肿,bí,zhǒng
鼻孔撩天,bí,tiān
鼻孔辽天,bí,tiān
鼻孔朝天,bí,tiān
鼻垩挥斤,bí,jīn
鼻端生火,bí,huǒ
鼻端出火,bí,huǒ
鼻青额肿,bí,zhǒng
擘肌分理,bò,lǐ
博闻强记,bó,jì
博闻强识,bó,zhì
博闻多识,bó,shí
博闻强志,bó,zhì
博闻辩言,bó,yán
薄技在身,bó,shēn
博物多闻,bó,wén
博通经籍,bó,jí
博硕肥腯,bó,tú
博士买驴,bó,lǘ
博文约礼,bó,lǐ
博物君子,bó,zǐ
薄物细故,bó,gù
博学多才,bó,cái
博学多闻,bó,wén
博学洽闻,bó,wén
渤澥桑田,bó,tián
搏牛之虻,bó,méng
搏手无策,bó,cè
擘两分星,bó,xīng
薄暮冥冥,bó,míng
踣地呼天,bó,tiān
博识多通,bó,tōng
薄命佳人,bó,rén
博物洽闻,bó,wén
博施济众,bó,zhòng
薄寒中人,bó,rén
博览五车,bó,chē
博洽多闻,bó,wén
伯道无儿,bó,ér
伯歌季舞,bó,wǔ
伯劳飞燕,bó,yàn
伯乐相马,bó,mǎ
伯玉知非,bó,fēi
伯仲叔季,bó,jì
伯仲之间,bó,jiān
勃然变色,bó,sè
伯埙仲篪,bó,chí
勃然奋励,bó,lì
博采众长,bó,cháng
博采众议,bó,yì
博大精深,bó,shēn
博而不精,bó,jīng
博而寡要,bó,yào
博古通今,bó,jīn
博览古今,bó,jīn
勃然大怒,bó,nù
博览群书,bó,shū
不识马肝,bù,gān
不识起倒,bù,dǎo
不期而同,bù,tóng
不平则鸣,bù,míng
不识人间有羞耻事,bù,jiān
不期而会,bù,huì
不破不立,bù,lì
不识庐山真面目,bù,shān
不期而然,bù,rán
不识局面,bù,miàn
不失毫厘,bù,lí
不识高低,bù,dī
不识东家,bù,jiā
不识大体,bù,tǐ
不识不知,bù,zhī
不时之需,bù,xū
不时之须,bù,xū
不失黍絫,bù,lěi
不失时机,bù,jī
不识时务,bù,wù
不期而遇,bù,yù
不识好歹,bù,dǎi
不识抬举,bù,jǔ
不是冤家不聚头,bù,jiā
不识一丁,bù,dīng
不痛不痒,bù,yǎng
不同流俗,bù,sú
不同凡响,bù,xiǎng
不同戴天,bù,tiān
不通水火,bù,huǒ
不祧之祖,bù,zǔ
不祧之宗,bù,zōng
不挑之祖,bù,zǔ
不腆之仪,bù,yí
不贪为宝,bù,bǎo
不识泰山,bù,shān
不速之客,bù,kè
不爽累黍,bù,shǔ
不爽毫发,bù,fā
不期然而然,bù,ér
不事边幅,bù,fú
不世之业,bù,yè
不世之功,bù,gōng
不食周粟,bù,sù
不食之地,bù,dì
不食烟火,bù,huǒ
不食马肝,bù,gān
不死不活,bù,huó
不期修古,bù,gǔ
不求甚解,bù,jiě
不欺暗室,bù,shì
不上不落,bù,luò
不赏之功,bù,gōng
不伤脾胃,bù,wèi
不衫不履,bù,lǚ
不僧不俗,bù,sú
不三不四,bù,sì
不塞下流，不止不行,bù,liú，bù
不塞不流，不止不行,bù,liú，bù
不入时宜,bù,yí
不入虎穴，焉得虎子,bù,xué，yān
不上不下,bù,xià
不入虎穴，不得虎子,bù,xué，bù
不如归去,bù,qù
不染一尘,bù,chén
不容置疑,bù,yí
不容置喙,bù,huì
不仁不义,bù,yì
不吐不茹,bù,rú
不容置辩,bù,biàn
不容分说,bù,shuō
不日不月,bù,yuè
不忍卒读,bù,dú
不辱使命,bù,mìng
不欺闇室,bù,shì
不舍昼夜,bù,yè
不生不灭,bù,miè
不欺屋漏,bù,lòu
不弃草昧,bù,mèi
不迁之庙,bù,miào
不切实际,bù,jì
不勤而获,bù,huò
不擒二毛,bù,máo
不轻然诺,bù,nuò
不情之请,bù,qǐng
不求闻达,bù,dá
不求有功，但求无过,bù,gōng，dàn
不甚了了,bù,liǎo
不屈不挠,bù,náo
不省人事,bù,shì
不胜其任,bù,rèn
不胜其苦,bù,kǔ
不胜其烦,bù,fán
不胜枚举,bù,jǔ
不胜梘杓,bù,sháo
不胜杯杓,bù,sháo
不声不响,bù,xiǎng
不声不气,bù,qì
不声不吭,bù,kēng
不失圭撮,bù,cuō
不偏不倚,bù,yǐ
不忘沟壑,bù,hè
不为五斗米折腰,bù,dǒu
不知疼痒,bù,yǎng
不知天高地厚,bù,gāo
不知痛痒,bù,yǎng
不知头脑,bù,nǎo
不知有汉，何论魏晋,bù,hàn，hé
不知者不罪,bù,bù
不知自爱,bù,ài
不知自量,bù,liàng
不直一钱,bù,qián
不知所终,bù,zhōng
不直一文,bù,wén
不值一顾,bù,gù
不值一钱,bù,qián
不值一哂,bù,shěn
不值一笑,bù,xiào
不忮不求,bù,qiú
不治之症,bù,zhèng
不栉进士,bù,shì
不置褒贬,bù,biǎn
不置可否,bù,fǒu
不值一驳,bù,bó
不知所云,bù,yún
不知所以,bù,yǐ
不知所言,bù,yán
不知好歹,bù,dǎi
不知纪极,bù,jí
不知进退,bù,tuì
不知就里,bù,lǐ
不知老之将至,bù,zhī
不知利害,bù,hài
不知其详,bù,xiáng
不知起倒,bù,dǎo
不知寝食,bù,shí
不知轻重,bù,zhòng
不知去向,bù,xiàng
不知人间有羞耻事,bù,jiān
不知肉味,bù,wèi
不知深浅,bù,qiǎn
不知世务,bù,wù
不知死活,bù,huó
不知所出,bù,chū
不知所厝,bù,cuò
不知所措,bù,cuò
不知所错,bù,cuò
不知所可,bù,kě
不主故常,bù,cháng
不知高下,bù,xià
不追既往,bù,wǎng
不着疼热,bù,rè
布袜青鞋,bù,xié
布衣粝食,bù,shí
布衣黔首,bù,shǒu
布衣蔬食,bù,shí
布衣韦带,bù,dài
布衣之交,bù,jiāo
步步登高,bù,gāo
步步高升,bù,shēng
步步莲花,bù,huā
布天盖地,bù,dì
步步生莲花,bù,lián
步调一致,bù,zhì
步斗踏罡,bù,gāng
步罡踏斗,bù,dǒu
步履蹒跚,bù,shān
步履维艰,bù,jiān
步人后尘,bù,chén
步线行针,bù,zhēn
步雪履穿,bù,chuān
步月登云,bù,yún
步步为营,bù,yíng
布裙荆钗,bù,chāi
布鼓雷门,bù,mén
布颿无恙,bù,yàng
不自量力,bù,lì
不自满假,bù,jiǎ
不自由，毋宁死,bù,nìng
不足齿数,bù,shǔ
不足挂齿,bù,chǐ
不足介意,bù,yì
不足轻重,bù,zhòng
不足为法,bù,fǎ
不足为据,bù,jù
不足为虑,bù,lǜ
不足为凭,bù,píng
不足为奇,bù,qí
不足为外人道,bù,wài
不足为训,bù,xùn
不足为意,bù,yì
不足与谋,bù,móu
不做不休,bù,xiū
布被瓦器,bù,qì
布帛菽粟,bù,sù
布袋里老鸦,bù,lǎo
布帆无恙,bù,yàng
不着边际,bù,jì
不忘故旧,bù,jiù
不知高低,bù,dī
不知凡几,bù,jǐ
不屑教诲,bù,huì
不屑一顾,bù,gù
不幸而言中,bù,yán
不修边幅,bù,fú
不修小节,bù,jié
不羞当面,bù,miàn
不脩边幅,bù,fú
不虚此行,bù,xíng
不徐不疾,bù,jí
不屑毁誉,bù,yù
不恤人言,bù,yán
不学无识,bù,shí
不学无术,bù,shù
不徇私情,bù,qíng
不言不语,bù,yǔ
不言而信,bù,xìn
不言而谕,bù,yù
不言而喻,bù,yù
不厌其烦,bù,fán
不厌其繁,bù,fán
不旋踵,bù,
不肖子孙,bù,sūn
不晓世务,bù,wù
不祥之兆,bù,zhào
不为已甚,bù,shèn
不违农时,bù,shí
不文不武,bù,wǔ
不闻不问,bù,wèn
不问不闻,bù,wén
不问青红皂白,bù,hóng
不问皂白,bù,bái
不猧不魀,bù,gà
不无小补,bù,bǔ
不舞之鹤,bù,hè
不务空名,bù,míng
不务正业,bù,yè
不惜工本,bù,běn
不习地土,bù,tǔ
不习水土,bù,tǔ
不習水土,bù,tǔ
不咸不淡,bù,dàn
不相上下,bù,xià
不相为谋,bù,móu
不相闻问,bù,wèn
不相问闻,bù,wén
不厌其详,bù,xiáng
不知甘苦,bù,kǔ
不药而愈,bù,yù
不依不饶,bù,ráo
不饮盗泉,bù,quán
不由分说,bù,shuō
不由自主,bù,zhǔ
不虞之誉,bù,yù
不远千里,bù,lǐ
不远万里,bù,lǐ
不约而同,bù,tóng
不越雷池,bù,shi
不在话下,bù,xià
不阴不阳,bù,yáng
不在其位，不谋其政,bù,wèi，bù
不择生冷,bù,lěng
不择手段,bù,duàn
不折不扣,bù,kòu
不正之风,bù,fēng
不知不觉,bù,jué
不知颠倒,bù,dǎo
不知藋蕫,bù,dǒng
不知丁董,bù,dǒng
不知端倪,bù,ní
不赞一词,bù,cí
不因人热,bù,rè
不因不由,bù,yóu
不翼而飞,bù,fēi
不壹而三,bù,sān
不壹而足,bù,zú
不夷不惠,bù,huì
不遗寸长,bù,cháng
不遗巨细,bù,xì
不遗余力,bù,lì
不以辞害志,bù,hài
不以规矩，不成方圆,bù,jǔ，bù
